DateTime,Entries,UniqueIPs
1547104502,4714,630517048
1547108104,4716,630517051
1547111703,4715,630517048
1547115523,4713,630517047
1547118903,4714,630517048
1547120704,4714,630517048
1547122802,4714,630517047
1547125221,4705,630496311
1547126102,4707,630496312
1547127302,4707,630496312
1547129704,4707,630496312
1547133303,4707,630496311
1547136912,4708,630496312
1547140508,4705,630496309
1547141418,4705,630496309
1547144103,4708,630496313
1547147402,4709,630496313
1547147703,4709,630496313
1547148615,4708,630496313
1547151305,4705,630496310
1547154921,4710,630496315
1547155818,4711,630496315
1547158801,4709,630496313
1547162402,4712,630496316
1547165707,4719,630496322
1547169145,4729,630496332
1547169719,4729,630496332
1547172903,4725,630496328
1547176263,4721,630496324
1547180109,4711,630496312
1547183702,4710,630496311
1547187306,4712,630496313
1547190904,4709,630496310
1547194504,4711,630496313
1547198103,4710,630496312
1547201703,4709,630496311
1547205302,4709,630496311
1547208903,4712,630496314
1547211302,4723,630463290
1547212075,4724,630463546
1547212504,4724,630463546
1547216122,4724,630463545
1547219463,4725,630463546
1547223304,4724,630463545
1547226702,4723,630463544
1547230503,4722,630463543
1547233502,4721,630463287
1547234402,4721,630463287
1547237706,4722,630463288
1547241302,4721,630463287
1547244902,4718,630463284
1547248504,4717,630463283
1547252104,4726,630463292
1547255702,4739,630463306
1547259070,4738,630463305
1547262902,4738,630463305
1547266308,4712,630463278
1547269502,4713,630463534
1547270112,4711,630463532
1547273702,4714,630463535
1547277304,4708,630463530
1547280902,4711,630463533
1547288102,4710,630463532
1547291704,4709,630463531
1547295305,4706,630463528
1547297701,4705,630418728
1547298902,4706,630418729
1547301626,4706,630418729
1547302502,4707,630418729
1547306102,4710,630418733
1547310002,4713,630418736
1547313302,4711,630418733
1547316902,4710,630418733
1547320280,4706,630418729
1547323855,4710,630418733
1547327704,4708,630418730
1547331053,4710,630418733
1547340304,4739,630418764
1547342402,4740,630418764
1547345703,4740,630418765
1547349304,4714,630418738
1547353828,4714,630418738
1547356506,4709,630418733
1547360402,4711,630418735
1547363704,4713,630418737
1547367305,4712,630418736
1547370904,4713,630418737
1547374536,4714,630418738
1547378108,4716,630418740
1547381709,4717,630418741
1547384102,4729,630427957
1547385305,4728,630427957
1547388935,4726,630427955
1547391621,4726,630427955
1547392502,4727,630427955
1547396102,4726,630427954
1547399704,4727,630427955
1547403302,4728,630427956
1547407096,4727,630427956
1547410508,4727,630427958
1547414102,4726,630427957
1547417762,4726,630427957
1547421066,4728,630427959
1547424904,4734,630427963
1547428264,4738,630427967
1547431873,4737,630427967
1547436004,4726,630427957
1547439302,4717,630427948
1547442910,4716,630427946
1547446282,4719,630427948
1547450104,4716,630427945
1547453464,4716,630427946
1547457002,4717,630427946
1547457306,4716,630427945
1547460903,4715,630427945
1547463737,4715,630427945
1547464505,4713,630427942
1547466002,4713,630427942
1547467925,4710,630427938
1547470502,4713,630431010
1547471705,4714,630431013
1547475067,4714,630431013
1547478904,4715,630431014
1547482274,4717,630431014
1547485865,4718,630431016
1547486135,4718,630431016
1547489702,4716,630431014
1547493136,4710,630431010
1547493752,4710,630431010
1547496962,4725,630431025
1547500502,4726,630431026
1547504102,4725,630431025
1547507494,4726,630431024
1547511129,4731,630431029
1547511602,4731,630431029
1547514701,4742,630431040
1547518505,4744,630431043
1547521877,4745,630431044
1547525705,4736,630431037
1547529601,4731,630431034
1547532902,4732,630431035
1547536503,4729,630431030
1547539856,4725,630431026
1547543707,4727,630431027
1547547302,4727,630431027
1547548229,4727,630431027
1547550902,4727,630431027
1547554508,4728,630431028
1547556902,4711,630406964
1547557887,4712,630406964
1547561495,4712,630406966
1547565304,4709,630406962
1547568902,4709,630406962
1547572277,4705,630406958
1547576130,4707,630406959
1547579730,4708,630406960
1547583064,4704,630406955
1547586690,4706,630406957
1547590530,4708,630406959
1547594102,4707,630406958
1547597725,4712,630406963
1547601137,4727,630406979
1547604004,4727,630406979
1547604905,4723,630406974
1547607902,4724,630407230
1547608523,4718,630407224
1547612108,4693,630407197
1547615702,4700,630407204
1547619324,4698,630407202
1547622902,4696,630407200
1547626524,4698,630407201
1547630122,4700,630407203
1547633707,4700,630407204
1547637317,4697,630407201
1547637902,4697,630407201
1547640919,4698,630407203
1547643902,4693,630391843
1547644503,4692,630391842
1547645007,4691,630391586
1547648122,4690,630391585
1547652302,4691,630391586
1547655320,4695,630391588
1547658924,4697,630391590
1547662984,4688,630391582
1547665801,4688,630391582
1547666124,4683,630391577
1547669726,4686,630391580
1547673325,4687,630391582
1547676925,4685,630391580
1547680255,4683,630391578
1547684225,4711,630391606
1547688071,4712,630391609
1547691602,4714,630391610
1547694904,4709,630391605
1547698502,4704,630391600
1547702103,4700,630391596
1547705728,4708,630391604
1547709330,4712,630391608
1547712929,4712,630391608
1547714704,4714,630393144
1547716502,4714,630393144
1547720129,4713,630393143
1547723728,4712,630393144
1547727602,4713,630393144
1547730302,4716,630360888
1547730929,4716,630360888
1547734529,4715,630360889
1547738129,4716,630360890
1547741729,4716,630360890
1547742302,4717,630361146
1547745309,4716,630361145
1547745902,4715,630360889
1547748912,4717,630360889
1547752502,4715,630360886
1547756102,4715,630360886
1547759702,4716,630360887
1547763323,4714,630360886
1547767502,4712,630360884
1547768702,4712,630360884
1547769901,4713,630361140
1547770502,4723,630361149
1547774103,4737,630361162
1547775005,4736,630360906
1547777458,4736,630360906
1547781303,4728,630360899
1547784904,4714,630360887
1547788502,4714,630360887
1547792102,4715,630360887
1547799326,4713,630360883
1547802902,4716,630360886
1547810103,4715,630360885
1547813702,4710,630360880
1547815802,4699,630356528
1547815804,4697,630343472
1547817319,4699,630343475
1547820906,4701,630343479
1547824526,4703,630343481
1547825404,4704,630343737
1547827885,4702,630343735
1547831719,4701,630343736
1547835077,4700,630343732
1547838302,4700,630343732
1547838903,4699,630343730
1547839805,4698,630343474
1547842521,4700,630343475
1547846121,4698,630343473
1547849462,4698,630343473
1547853322,4699,630343475
1547856003,4698,630343474
1547856696,4700,630343477
1547860361,4714,630343491
1547864123,4715,630343492
1547867753,4710,630343488
1547871302,4701,630343477
1547874957,4699,630343474
1547878552,4700,630343475
1547882155,4695,630343470
1547885756,4702,630343477
1547889302,4702,630343477
1547892683,4705,630343480
1547896304,4702,630343478
1547899866,4699,630343475
1547902501,4698,630317875
1547903495,4695,630317871
1547907097,4696,630317874
1547907680,4696,630317874
1547910677,4693,630317871
1547914512,4693,630317871
1547917861,4693,630317871
1547921719,4692,630317869
1547925319,4692,630317869
1547928902,4692,630317869
1547932502,4692,630317868
1547932831,4692,630317868
1547936102,4691,630317867
1547939720,4694,630317870
1547942426,4693,630317869
1547943303,4696,630317873
1547946903,4710,630317887
1547950502,4718,630317895
1547954125,4715,630317891
1547957702,4693,630317869
1547961302,4691,630317867
1547964925,4690,630317868
1547968523,4687,630317865
1547972102,4687,630317865
1547975500,4685,630317863
1547979302,4684,630317860
1547982923,4686,630317862
1547986263,4688,630317864
1547988603,4688,630314792
1547990124,4695,630314799
1547991017,4694,630314543
1547994002,4695,630314544
1547997319,4686,630314535
1547997902,4686,630314535
1548000919,4687,630314536
1548004520,4690,630314539
1548005420,4691,630314795
1548008119,4693,630314797
1548011885,4693,630314797
1548015538,4693,630314797
1548019048,4690,630314795
1548022303,4694,630314799
1548026341,4697,630314802
1548029102,4696,630314801
1548029723,4717,630314821
1548033324,4710,630314814
1548033902,4710,630314814
1548036925,4706,630314810
1548040524,4681,630314785
1548043873,4684,630314789
1548047703,4683,630314789
1548051325,4685,630314792
1548054925,4684,630314791
1548058525,4681,630314787
1548062102,4682,630314787
1548062868,4682,630314787
1548063602,4683,630314788
1548065726,4682,630314787
1548069325,4680,630314785
1548072917,4680,630314786
1548075602,4682,630316066
1548076526,4682,630316065
1548080126,4680,630316065
1548083726,4683,630316069
1548084619,4682,630315813
1548087302,4683,630315814
1548090919,4682,630315813
1548091397,4682,630315813
1548094667,4689,630315820
1548098402,4688,630315818
1548101769,4691,630315818
1548105602,4693,630315820
1548106205,4693,630315820
1548108922,4694,630315821
1548112284,4692,630315820
1548116121,4700,630315830
1548119724,4695,630315825
1548123311,4703,630315832
1548126668,4701,630315831
1548130502,4694,630315821
1548134102,4696,630315824
1548137705,4696,630315824
1548141303,4695,630315824
1548144914,4694,630315822
1548148272,4694,630315822
1548152102,4695,630315823
1548155702,4694,630315822
1548159303,4693,630315822
1548161702,4687,630295342
1548162903,4688,630295343
1548166211,4688,630295343
1548166502,4690,630295344
1548170107,4692,630295346
1548171018,4691,630295346
1548173711,4693,630295348
1548177303,4692,630295348
1548180919,4689,630295344
1548184519,4687,630295341
1548188311,4683,630295337
1548191721,4686,630295341
1548195323,4686,630295342
1548198902,4685,630295342
1548199502,4686,630295342
1548202523,4694,630295349
1548203109,4694,630295349
1548206123,4707,630295361
1548209724,4707,630295360
1548213601,4704,630295357
1548217160,4686,630295339
1548220524,4689,630295342
1548224402,4686,630295338
1548227725,4686,630295338
1548231325,4688,630295340
1548234924,4688,630295340
1548238802,4685,630295337
1548242403,4685,630295339
1548245985,4685,630295339
1548248102,4688,630268715
1548249324,4686,630268713
1548250218,4687,630268969
1548253017,4690,630268971
1548253818,4690,630268971
1548254718,4690,630268971
1548255620,4690,630268971
1548256802,4691,630268972
1548257420,4691,630268972
1548260118,4693,630268973
1548260402,4694,630269229
1548263702,4694,630269230
1548266422,4694,630269230
1548267302,4694,630269231
1548270921,4690,630269226
1548271821,4690,630269226
1548274762,4690,630269225
1548278347,4687,630268969
1548282035,4686,630268968
1548285322,4687,630268969
1548286225,4687,630268969
1548288304,4688,630269225
1548288703,4692,630269231
1548292502,4703,630269241
1548293410,4702,630268985
1548296102,4702,630268984
1548297301,4702,630268984
1548297902,4703,630268985
1548299725,4697,630268980
1548303327,4686,630268968
1548307805,4687,630268969
1548310503,4688,630268970
1548314125,4685,630268966
1548318719,4685,630268967
1548320429,4685,630268967
1548321302,4682,630268967
1548324925,4683,630268968
1548326402,4683,630268968
1548328802,4684,630268968
1548329412,4684,630268968
1548332119,4685,630268968
1548334802,4681,630228008
1548336002,4679,630228005
1548339322,4680,630228006
1548342903,4680,630228005
1548345624,4681,630228005
1548346502,4678,630228003
1548350402,4678,630228004
1548350785,4677,630228004
1548353722,4677,630228003
1548357302,4676,630228002
1548357668,4677,630228002
1548360922,4677,630228002
1548364502,4676,630228001
1548365102,4675,630228001
1548368102,4673,630227999
1548371724,4675,630228001
1548372302,4676,630228001
1548375325,4694,630228019
1548379501,4689,630228014
1548382527,4688,630228012
1548386126,4675,630227999
1548389703,4673,630227997
1548393327,4673,630227997
1548396745,4682,630228007
1548400526,4680,630228005
1548404127,4682,630228006
1548407702,4682,630228006
1548411326,4679,630228003
1548414926,4679,630228003
1548418528,4677,630228001
1548420605,4672,630206241
1548422127,4680,630206250
1548425475,4685,630206255
1548426213,4685,630206511
1548429320,4683,630206510
1548432667,4686,630206512
1548435602,4679,630203184
1548436522,4677,630203183
1548437702,4676,630202927
1548440122,4673,630202924
1548443724,4673,630202922
1548447302,4673,630202922
1548450928,4673,630202922
1548454528,4674,630202923
1548458102,4673,630202923
1548461731,4678,630202928
1548465332,4690,630202940
1548468931,4693,630202942
1548472503,4674,630202924
1548476402,4663,630202912
1548479704,4661,630202910
1548483305,4661,630202910
1548486674,4666,630202915
1548490533,4668,630202917
1548494102,4665,630202914
1548497449,4665,630202914
1548501334,4665,630202914
1548504932,4664,630202913
1548507603,4667,630172449
1548508532,4667,630172449
1548512132,4666,630172448
1548515490,4666,630172448
1548519332,4669,630172451
1548522933,4667,630172449
1548523514,4667,630172449
1548526523,4665,630172447
1548530103,4666,630172448
1548533724,4667,630172449
1548537057,4667,630172449
1548540926,4665,630172447
1548544527,4665,630172447
1548545228,4665,630172447
1548548127,4675,630172457
1548551727,4682,630172465
1548552628,4681,630172465
1548555328,4684,630172469
1548558929,4679,630172463
1548562504,4667,630172449
1548566128,4668,630172450
1548569731,4662,630172444
