DateTime,AddedIPs,RemovedIPs
1547588437,25,30
1547590371,177,25
1547592279,695,18
1547594457,27,1452
1547596364,29,521
1547598298,226,11
1547600199,21,29
1547602116,32,27
1547604100,24,29
1547605952,35,28
1547607938,29,28
1547609791,31,26
1547611974,28,34
1547613872,134,31
1547616058,38,22
1547617983,34,29
1547619862,23,26
1547621805,51,21
1547623702,77,12
1547626605,115,221
1547628806,94,21
1547630673,115,61
1547632603,142,31
1547634505,107,22
1547636537,69,23
1547638347,1329,11
1547640276,1140,25
1547642205,20,22
1547644116,13,19
1547646052,9,13
1547647946,455,23
1547650113,16,38
1547652022,13,34
1547653943,18,25
1547655858,14,30
1547657780,13,21
1547659944,87,36
1547661894,20,26
1547664054,12,30
1547665941,15,33
1547667908,33,30
1547670054,13,32
1547671971,20,37
1547673881,17,21
1547675777,24,32
1547677725,15,21
1547679734,20,27
1547681575,13,22
1547683515,13,23
1547685377,17,158
1547687570,25,25
1547689706,14,32
1547691623,13,34
1547693548,23,30
1547695491,19,28
1547697704,26,34
1547699544,13,32
1547701545,18,28
1547703417,16,134
1547705557,20,30
1547707481,31,28
1547709411,20,25
1547711323,20,35
1547713232,26,46
1547715170,13,30
1547717067,14,27
1547718977,878,33
1547721183,947,15
1547723109,728,18
1547725027,901,1619
1547727168,1029,400
1547729069,989,19
1547731001,922,5
1547733143,691,148
1547735083,19,320
1547737007,17,18
1547738897,13,15
1547740889,25,14
1547742762,44,13
1547744731,22,93
1547746844,29,462
1547748784,24,20
1547750662,26,8
1547752852,31,19
1547754776,30,17
1547756678,23,14
1547758584,19,18
1547760521,13,20
1547762465,27,30
1547764336,30,14
1547766304,17,17
1547768198,13,15
1547770099,19,132
1547772046,18,15
1547774197,23,23
1547776220,18,12
1547778021,24,15
1547779965,26,22
1547781896,23,18
1547783775,16,20
1547785944,16,16
1547787928,22,15
1547790056,151,19
1547791953,131,19
1547793859,19,19
1547795807,26,18
1547797697,15,15
1547799669,16,44
1547801585,37,56
1547803817,62,22
1547805688,15,11
1547807556,16,31
1547809511,22,20
1547811408,28,16
1547813556,22,24
1547815458,14,14
1547817388,17,19
1547819565,32,22
1547821485,22,19
1547823384,21,15
1547825565,22,18
1547827520,20,23
1547829784,23,28
1547832055,21,20
1547833949,21,28
1547835887,14,19
1547837772,13,30
1547839945,31,31
1547841935,29,23
1547843805,31,18
1547845978,32,20
1547847856,28,18
1547849787,30,39
1547851984,36,24
1547853864,28,579
1547855804,25,1052
1547857702,429,917
1547859716,26,1001
1547861574,20,944
1547863458,14,927
1547865646,20,1109
1547867547,25,938
1547869466,41,890
1547871651,47,26
1547873564,51,17
1547875471,18,18
1547877375,25,26
1547879295,15,107
1547881304,15,45
1547883165,45,46
1547885134,45,79
1547886973,71,107
1547889157,114,123
1547891087,119,44
1547893259,41,23
1547895151,17,24
1547897055,21,35
1547898994,29,31
1547900899,11,23
1547902884,18,21
1547904769,48,74
1547906664,19,22
1547908598,322,44
1547910760,23,36
1547912677,18,33
1547914663,16,29
1547916759,19,18
1547918814,11,22
