DateTime,AddedIPs,RemovedIPs
1548459372,40,50
1548460089,32,31
1548460832,27,37
1548461540,29,36
1548462249,35,40
1548462969,35,27
1548463691,32,28
1548464412,30,25
1548465160,23,41
1548465850,23,40
1548466572,28,16
1548467292,30,43
1548468021,47,41
1548468742,36,34
1548469452,40,28
1548470167,46,248
1548470895,234,31
1548471630,35,243
1548472595,238,39
1548473318,35,226
1548474015,235,38
1548474763,26,227
1548475452,240,32
1548476176,31,28
1548476899,20,19
1548477625,21,39
1548478331,31,23
1548479053,20,26
1548480027,25,37
1548480760,31,30
1548481478,27,21
1548482167,25,223
1548482920,220,39
1548483863,26,26
1548484572,17,27
1548485319,42,33
1548486289,28,30
1548486970,28,68
1548487691,72,47
1548488660,43,46
1548489366,56,22
1548490133,23,31
1548491083,32,38
1548491799,41,28
1548492494,28,43
1548493239,37,223
1548493928,232,36
1548494916,34,43
1548495852,39,41
1548496566,54,22
1548497295,23,45
1548498008,47,31
1548498763,30,30
1548499449,24,29
1548500177,39,240
1548501052,240,35
1548501852,37,38
1548502813,36,36
1548503556,45,48
1548504257,52,32
1548505232,40,56
1548505936,44,245
1548506679,237,41
1548507367,50,245
1548508096,238,37
1548508809,51,31
1548509563,42,36
1548510250,39,38
1548510967,50,27
1548511705,29,39
1548512681,47,36
1548513368,29,49
1548514097,40,37
1548515082,39,26
1548515775,29,34
1548516518,25,32
1548517233,34,29
1548517961,32,38
1548518673,37,42
1548519645,49,40
1548520360,48,234
1548521071,223,26
1548521792,43,36
1548522518,40,26
1548523234,30,52
1548523959,34,36
1548524670,54,48
1548525387,38,40
1548526361,52,54
1548527069,46,35
1548527789,39,50
1548528514,41,29
1548529239,44,84
1548529954,74,44
1548530696,49,32
1548531394,33,36
1548532115,32,29
1548532839,29,139
1548533785,134,40
1548534523,30,52
1548535232,44,28
1548535952,36,21
1548536673,26,43
1548537394,37,35
1548538110,36,28
1548538832,28,38
1548539553,37,42
1548540274,33,33
1548540994,42,40
1548541961,50,44
1548542658,22,29
1548543373,27,38
1548544122,38,23
1548544831,29,42
1548545559,33,34
1548546271,29,26
1548546990,29,30
1548547960,44,46
1548548669,31,128
1548549388,130,33
1548550114,32,33
1548550830,23,46
1548551559,42,32
1548552310,42,44
1548552992,29,40
1548553710,41,32
1548554436,35,27
1548555378,43,45
1548556087,35,43
1548556815,38,39
1548557529,44,50
1548558525,49,55
1548559477,41,128
1548560189,112,34
1548560917,22,36
1548561639,45,28
1548562364,31,41
1548563048,41,35
1548563769,33,24
1548564744,32,49
1548565453,45,51
1548566428,48,47
1548567137,41,26
1548567850,14,44
1548568574,44,21
1548569306,23,48
1548570008,47,25
