DateTime,AddedIPs,RemovedIPs
1548376857,145,586
1548377768,52,0
1548378909,66,270
1548380163,71,428
1548381377,68,116
1548382509,67,285
1548384062,67,451
1548385814,80,298
1548386048,12,0
1548387538,92,422
1548388569,54,148
1548389648,61,294
1548391335,72,509
1548393248,177,316
1548394928,110,590
1548395767,30,0
1548396909,72,230
1548398535,92,437
1548400448,98,261
1548402070,65,511
1548402969,43,0
1548404056,58,270
1548405728,111,544
1548407648,107,363
1548409345,96,593
1548410168,42,0
1548411308,51,351
1548412929,1708,625
1548414608,104,445
1548416527,203,687
1548418447,85,423
1548420058,76,740
1548420968,57,0
1548422109,82,463
1548423654,86,697
1548425648,127,458
1548426487,78,0
1548428168,106,739
1548429312,80,447
1548430937,78,809
1548432315,88,481
1548433687,96,0
1548435176,81,688
1548436518,65,750
1548437708,68,754
1548439507,94,835
1548440714,88,2
1548442567,103,1199
1548443647,57,654
1548444487,44,1
1548445807,92,130
1548447246,217,80
1548448087,166,0
1548449739,112,123
1548450907,73,101
1548452106,80,107
1548453310,81,33
1548454448,85,138
1548455706,64,93
1548456916,100,34
1548458113,53,47
1548458887,25,1
1548460575,148,61
1548461647,68,88
1548463327,106,111
1548465015,136,58
1548466096,66,1
1548467599,86,135
1548468847,56,76
1548470528,122,106
1548471369,86,1
1548472450,52,174
1548474091,69,148
1548476049,108,51
1548477618,59,102
1548479648,109,101
1548481328,101,98
1548482489,88,131
1548483615,55,1
1548484087,33,0
1548484934,41,146
1548486847,97,89
1548488535,81,81
1548490446,89,133
1548491294,42,0
1548492607,59,117
1548493808,61,108
1548495022,83,122
1548496263,156,68
1548497407,161,96
1548498630,86,116
1548499336,54,48
1548500176,60,0
1548501246,44,63
1548502471,75,146
1548503767,64,1
1548504909,61,99
1548505687,41,0
1548507376,119,199
1548508446,75,240
1548509286,34,0
1548510427,75,174
1548512047,111,71
1548512886,48,0
1548513727,53,91
1548515415,101,88
1548517326,138,109
1548518167,51,0
1548519308,61,97
1548520508,58,147
1548521735,65,46
1548522846,96,58
1548524528,74,117
1548526446,115,58
1548528518,126,134
1548529807,73,63
1548531734,109,119
1548532915,85,138
1548534487,129,0
1548536458,231,182
1548537247,45,0
1548538095,57,0
1548538938,36,152
1548539767,52,0
1548541687,114,83
1548543341,121,123
1548544509,48,57
1548546311,85,161
1548548055,138,70
1548548896,57,0
1548549727,66,109
1548551416,67,71
1548552487,52,0
1548553853,49,116
1548555247,56,67
1548556928,87,119
1548557768,25,0
1548558855,36,61
1548559698,28,0
1548560536,28,119
1548561376,39,0
1548562508,50,88
1548564143,85,193
1548565818,95,80
1548567010,45,131
1548568507,111,26
1548569711,63,77
